한자표기,읽기(히라가나),품사,JLPT레벨
"羨ましい","うらやましい","形容詞","N3"
"選挙","せんきょ","名詞","N3"
"選択","せんたく","名詞","N3"
"漸く","ようやく","副詞","N3"
"漸漸","ぜんぜん","副詞","N3"
"然る","しかる","副詞","N3"
"全員","ぜんいん","名詞","N3"
"全身","ぜんしん","名詞","N3"
"素直","すなお","名詞","N3"
"素敵","すてき","名詞","N3"
"鼠","ねずみ","名詞","N3"
"想像","そうぞう","名詞","N3"
"掃く","はく","動詞","N3"
"早口","はやくち","名詞","N3"
"相手","あいて","名詞","N3"
"相続","そうぞく","名詞","N3"
"相当","そうとう","副詞","N3"
"相変わらず","あいかわらず","副詞","N3"
"総合","そうごう","名詞","N3"
"草臥れる","くたびれる","動詞","N3"
"送金","そうきん","名詞","N3"
"送料","そうりょう","名詞","N3"
"騒ぎ","さわぎ","名詞","N3"
"騒音","そうおん","名詞","N3"
"増やす","ふやす","動詞","N3"
"憎い","にくい","形容詞","N3"
"息子","むすこ","名詞","N3"
"測る","はかる","動詞","N3"
"測定","そくてい","名詞","N3"
"測量","そくりょう","名詞","N3"
"足し算","たしざん","名詞","N3"
"足下","あしもと","名詞","N3"
"足跡","あしあと","名詞","N3"
"速達","そくたつ","名詞","N3"
"速度","そくど","名詞","N3"
"続続","ぞくぞく","副詞","N3"
"袖","そで","名詞","N3"
"其れ其れ","それぞれ","名詞","N3"
"揃う","そろう","動詞","N3"
"揃える","そろえる","動詞","N3"
"多少","たしょう","副詞","N3"
"堕す","だす","動詞","N3"
"打付ける","ぶつける","動詞","N3"
"体育","たいいく","名詞","N3"
"体温","たいおん","名詞","N3"
"体重","たいじゅう","名詞","N3"
"体力","たいりょく","名詞","N3"
"対","つい","名詞","N3"
"対策","たいさく","名詞","N3"
"待ち合わせ","まちあわせ","名詞","N3"
"怠ける","なまける","動詞","N3"
"態と","わざと","副詞","N3"
"態度","たいど","名詞","N3"
"貸し出し","かしだし","名詞","N3"
"退学","たいがく","名詞","N3"
"退職","たいしょく","名詞","N3"
"逮捕","たいほ","名詞","N3"
"代","だい","名詞","N3"
"代金","だいきん","名詞","N3"
"代表","だいひょう","名詞","N3"
"代理","だいり","名詞","N3"
"大いに","おおいに","副詞","N3"
"大した","たいした","連体詞","N3"
"大して","たいして","副詞","N3"
"大家·大屋","おおや","名詞","N3"
"大会","たいかい","名詞","N3"
"大腿","だいたい","名詞","N3"
"大通り","おおどおり","名詞","N3"
"大統領","だいとうりょう","名詞","N3"
"大夫","だいぶ","名詞","N3"
"題名","だいめい","名詞","N3"
"叩く·敲く","たたく","動詞","N3"
"単に","たんに","副詞","N3"
"単語","たんご","名詞","N3"
"担当","たんとう","名詞","N3"
"短期","たんき","名詞","N3"
"誕生","たんじょう","名詞","N3"
"団体","だんたい","名詞","N3"
"弾む","はずむ","動詞","N3"
"断わる","ことわる","動詞","N3"
"断水","だんすい","名詞","N3"
"暖かい","あたたかい","形容詞","N3"
"暖まる","あたたまる","動詞","N3"
"暖める","あたためる","動詞","N3"
"暖房","だんぼう","名詞","N3"
"男子","だんし","名詞","N3"
"知らせ","しらせ","動詞","N3"
"知り合い·知合","しりあい","名詞","N3"
"知人","ちじん","名詞","N3"
"地下","ちか","名詞","N3"
"地下水","ちかすい","名詞","N3"
"地球","ちきゅう","名詞","N3"
"地方","ちほう","名詞","N3"
"地名","ちめい","名詞","N3"
"地面","じめん","名詞","N3"
"遅刻","ちこく","名詞","N3"
"中央","ちゅうおう","名詞","N3"
"中学","ちゅうがく","名詞","N3"
"中間","ちゅうかん","名詞","N3"
"中古","ちゅうこ","名詞","N3"
"中指","なかゆび","名詞","N3"
"中旬","ちゅうじゅん","名詞","N3"
"中心","ちゅうしん","名詞","N3"
"中年","ちゅうねん","名詞","N3"
"仲","なか","名詞","N3"
"仲よし·仲良し","なかよし","名詞","N3"
"仲直り","なかなおり","名詞","N3"
"昼食·中食","ちゅうしょく","名詞","N3"
"昼寝","ひるね","名詞","N3"
"注ぐ","そそぐ","動詞","N3"
"注射","ちゅうしゃ","名詞","N3"
"注文","ちゅうもん","名詞","N3"
"注目","ちゅうもく","名詞","N3"
"虫歯","むしば","名詞","N3"
"貯める","ためる","動詞","N3"
"貯金","ちょきん","名詞","N3"
"朝寝坊","あさねぼう","名詞","N3"
"調査","ちょうさ","名詞","N3"
"調子","ちょうし","名詞","N3"
"調整","ちょうせい","名詞","N3"
"調味料","ちょうみりょう","名詞","N3"
"超過","ちょうか","名詞","N3"
"長","ちょう","名詞","N3"
"長所","ちょうしょ","名詞","N3"
"長女","ちょうじょ","名詞","N3"
"長男","ちょうなん","名詞","N3"
"長長","ながなが","副詞","N3"
"直後","ちょくご","名詞","N3"
"直接","ちょくせつ","名詞","N3"
"直線","ちょくせん","名詞","N3"
"直前","ちょくぜん","名詞","N3"
"直通","ちょくつう","名詞","N3"
"沈む","しずむ","動詞","N3"
"追い越す","おいこす","動詞","N3"
"追う","おう","動詞","N3"
"痛み","いたみ","名詞","N3"
"通じる","つうじる","動詞","N3"
"通り過ぎる","とおりすぎる","動詞","N3"
"通過","つうか","名詞","N3"
"通勤","つうきん","名詞","N3"
"通行","つうこう","名詞","N3"
"通信","つうしん","名詞","N3"
"通帳","つうちょう","名詞","N3"
"通訳","つうやく","名詞","N3"
"漬ける","つける","動詞","N3"
"潰す","つぶす","動詞","N3"
"潰れる","つぶれる","動詞","N3"
"低下","ていか","名詞","N3"
"停車","ていしゃ","名詞","N3"
"停電","ていでん","名詞","N3"
"定員","ていいん","名詞","N3"
"定期","ていき","名詞","N3"
"定期券","ていきけん","名詞","N3"
"底","そこ","名詞","N3"
"提案","ていあん","名詞","N3"
"提出","ていしゅつ","名詞","N3"
"締め切り","しめきり","名詞","N3"
"諦める","あきらめる","動詞","N3"
"泥","どろ","名詞","N3"
"適当","てきとう","名詞","N3"
"鉄道","てつどう","名詞","N3"
"天国","てんごく","名詞","N3"
"展示","てんじ","名詞","N3"
"纏まる","まとまる","動詞","N3"
"纏める","まとめる","動詞","N3"
"転がす","ころがす","動詞","N3"
"転がる","ころがる","動詞","N3"
"伝わる","つたわる","動詞","N3"
"伝言","でんごん","名詞","N3"
"伝染","でんせん","名詞","N3"
"電球","でんきゅう","名詞","N3"
"電柱","でんちゅう","名詞","N3"
"兎","うさぎ","名詞","N3"
"徒","ただ","名詞","N3"
"徒歩","とほ","名詞","N3"
"渡り鳥","わたりどり","名詞","N3"
"登山","とざん","名詞","N3"
"登場","とうじょう","名詞","N3"
"都市","とし","名詞","N3"
"努力","どりょく","名詞","N3"
"土","つち","名詞","N3"
"土産","みやげ","名詞","N3"
"土地","とち","名詞","N3"
"怒り","いかり","名詞","N3"
"倒す","たおす","動詞","N3"
"東洋","とうよう","名詞","N3"
"灯台","とうだい","名詞","N3"
"当たり前","あたりまえ","名詞","N3"
"答案","とうあん","名詞","N3"
"統べる","すべる","動詞","N3"
"統計","とうけい","名詞","N3"
"到着","とうちゃく","名詞","N3"
"豆","まめ","名詞","N3"
"踏み切り","ふみきり","名詞","N3"
"透く","すく","動詞","N3"
"働き","はたらき","動詞","N3"
"動かす","うごかす","動詞","N3"
"憧れる","あこがれる","動詞","N3"
"道路","どうろ","名詞","N3"
"得る","える","動詞","N3"
"得意","とくい","名詞","N3"
"特色","とくしょく","名詞","N3"
"特売","とくばい","名詞","N3"
"毒","どく","名詞","N3"
"独身","どくしん","名詞","N3"
"独立","どくりつ","名詞","N3"
"読書","どくしょ","名詞","N3"
"突然","とつぜん","副詞","N3"
"内科","ないか","名詞","N3"
"内線","ないせん","名詞","N3"
"内容","ないよう","名詞","N3"
"乍ら","ながら","名詞","N3"
"南北","なんぼく","名詞","N3"
"日帰り","ひがえり","名詞","N3"
"日時","にちじ","名詞","N3"
"日常","にちじょう","名詞","N3"
"日中","にっちゅう","名詞","N3"
"日程","にってい","名詞","N3"
"日当たり","ひあたり","名詞","N3"
"日付","ひづけ","名詞","N3"
"入場","にゅうじょう","名詞","N3"
"入浴","にゅうよく","名詞","N3"
"任せる","まかせる","動詞","N3"
"濡らす","ぬらす","動詞","N3"
"熱心","ねっしん","名詞","N3"
"熱中","ねっちゅう","名詞","N3"
"年間","ねんかん","名詞","N3"
"年寄り","としより","名詞","N3"
"年月","ねんげつ","名詞","N3"
"年中","ねんじゅう","名詞","N3"
"燃える","もえる","動詞","N3"
"燃やす","もやす","動詞","N3"
"悩む","なやむ","動詞","N3"
"濃い","こい","形容詞","N3"
"能力","のうりょく","名詞","N3"
"農村","のうそん","名詞","N3"
"農民","のうみん","名詞","N3"
"波","なみ","名詞","N3"
"破る","やぶる","動詞","N3"
"破れる","やぶれる","動詞","N3"
"馬","うま","名詞","N3"
"拝見","はいけん","名詞","N3"
"配る","くばる","動詞","N3"
"配達","はいたつ","名詞","N3"
"倍","ばい","名詞","N3"
"梅","うめ","名詞","N3"
"売り上げ","うりあげ","名詞","N3"
"売り切れ","うりきれ","名詞","N3"
"売れる","うれる","動詞","N3"
"売店","ばいてん","名詞","N3"
"売買","ばいばい","名詞","N3"
"博物館","はくぶつかん","名詞","N3"
"拍手","はくしゅ","名詞","N3"
"薄暗い","うすぐらい","形容詞","N3"
"縛る","しばる","動詞","N3"
"箸","はし","名詞","N3"
"畑","はたけ","名詞","N3"
"発見","はっけん","名詞","N3"
"発車","はっしゃ","名詞","N3"
"発想","はっそう","名詞","N3"
"発達","はったつ","名詞","N3"
"発展","はってん","名詞","N3"
"発電","はつでん","名詞","N3"
"発売","はつばい","名詞","N3"
"発表","はっぴょう","名詞","N3"
"発明","はつめい","名詞","N3"
"抜く","ぬく","動詞","N3"
"抜ける","ぬける","動詞","N3"
"反する","はんする","動詞","N3"
"反省","はんせい","名詞","N3"
"板","いた","名詞","N3"
"犯人","はんにん","名詞","N3"
"販売","はんばい","名詞","N3"
"範囲","はんい","名詞","N3"
"飯","めし","名詞","N3"
"卑下","ひげ","名詞","N3"
"彼此","あれこれ","名詞","N3"
"悲しむ","かなしむ","動詞","N3"
"被害","ひがい","名詞","N3"
"費用","ひよう","名詞","N3"
"避ける","さける","動詞","N3"
"非","ひ","接頭詞","N3"
"飛ばす","とばす","動詞","N3"
"飛び込む","とびこむ","動詞","N3"
"飛び出す","とびだす","動詞","N3"
"飛行","ひこう","名詞","N3"
"美術","びじゅつ","名詞","N3"
"美人","びじん","名詞","N3"
"美容","びよう","名詞","N3"
"必ずしも","かならずしも","副詞","N3"
"筆","ふで","名詞","N3"
"筆記","ひっき","名詞","N3"
"紐","ひも","名詞","N3"
"表わす","あらわす","動詞","N3"
"表現","ひょうげん","名詞","N3"
"表紙","ひょうし","名詞","N3"
"表情","ひょうじょう","名詞","N3"
"表面","ひょうめん","名詞","N3"
"病める","やめる","動詞","N3"
"品","しな","名詞","N3"
"貧しい","まずしい","形容詞","N3"
"瓶詰め","びんづめ","名詞","N3"
"不足","ふそく","名詞","N3"
"不断·普段","ふだん","名詞","N3"
"不満","ふまん","名詞","N3"
"付き合う","つきあう","動詞","N3"
"夫妻","ふさい","名詞","N3"
"夫婦","ふうふ","名詞","N3"
"浮かべる","うかべる","動詞","N3"
"浮く","うく","動詞","N3"
"腐る","くさる","動詞","N3"
"負け","まけ","名詞","N3"
"負んぶ","おんぶ","名詞","N3"
"舞台","ぶたい","名詞","N3"
"部下","ぶか","名詞","N3"
"部品","ぶひん","名詞","N3"
"部分","ぶぶん","名詞","N3"
"風景","ふうけい","名詞","N3"
"幅","はば","名詞","N3"
"腹","はら","名詞","N3"
"払い戻す","はらいもどす","動詞","N3"
"物価","ぶっか","名詞","N3"
"物語","ものがたり","名詞","N3"
"物置","ものおき","名詞","N3"
"物理","ぶつり","名詞","N3"
"分かれる","わかれる","動詞","N3"
"分ける","わける","動詞","N3"
"分数","ぶんすう","名詞","N3"
"雰囲気","ふんいき","名詞","N3"
"文句","もんく","名詞","N3"
"文献","ぶんけん","名詞","N3"
"文字","もじ","名詞","N3"
"文房具","ぶんぼうぐ","名詞","N3"
"平気","へいき","名詞","N3"
"平均","へいきん","名詞","N3"
"平日","へいじつ","名詞","N3"
"平凡","へいぼん","名詞","N3"
"平和","へいわ","名詞","N3"
"並行·併行","へいこう","名詞","N3"
"並木","なみき","名詞","N3"
"癖","くせ","名詞","N3"
"別に","べつに","副詞","N3"
"別れ","わかれ","名詞","N3"
"別別","べつべつ","名詞","N3"
"変化","へんか","名詞","N3"
"変更","へんこう","名詞","N3"
"片道","かたみち","名詞","N3"
"片付く","かたづく","動詞","N3"
"編集","へんしゅう","名詞","N3"
"保存","ほぞん","名詞","N3"
"捕まる","つかまる","動詞","N3"
"歩度","ほど","名詞","N3"
"歩道","ほどう","名詞","N3"
"暮らし","くらし","名詞","N3"
"暮らす","くらす","動詞","N3"
"母親","ははおや","名詞","N3"
"包み","つつみ","名詞","N3"
"包丁","ほうちょう","名詞","N3"
"報告","ほうこく","名詞","N3"
"宝","たから","名詞","N3"
"宝石","ほうせき","名詞","N3"
"抱く","だく","動詞","N3"
"抱っこ","だっこ","名詞","N3"
"方方","かたがた","名詞","N3"
"方法","ほうほう","名詞","N3"
"方面","ほうめん","名詞","N3"
"法則","ほうそく","名詞","N3"
"泡","あわ","名詞","N3"
"飽きる","あきる","動詞","N3"
"亡くす","なくす","動詞","N3"
"坊っちゃん","ぼっちゃん","名詞","N3"
"本人","ほんにん","名詞","N3"
"本部","ほんぶ","名詞","N3"
"本物","ほんもの","名詞","N3"
"翻訳","ほんやく","名詞","N3"
"凡そ","およそ","副詞","N3"
"埋まる","うまる","動詞","N3"
"埋める","うめる","動詞","N3"
"毎度","まいど","名詞","N3"
"末っ子","すえっこ","名詞","N3"
"満員","まんいん","名詞","N3"
"満足","まんぞく","名詞","N3"
"満点","まんてん","名詞","N3"
"味わう","あじわう","動詞","N3"
"味方","みかた","名詞","N3"
"未来","みらい","名詞","N3"
"民間","みんかん","名詞","N3"
"夢中","むちゅう","名詞","N3"
"無","む","接頭詞","N3"
"無視","むし","名詞","N3"
"無線","むせん","名詞","N3"
"無駄遣い","むだづかい","名詞","N3"
"無地","むじ","名詞","N3"
"無料","むりょう","名詞","N3"
"名","な","名詞","N3"
"名作","めいさく","名詞","N3"
"名刺","めいし","名詞","N3"
"名人","めいじん","名詞","N3"
"明ける","あける","動詞","N3"
"明らか","あきらか","名詞","N3"
"明確","めいかく","名詞","N3"
"明白","めいはく","名詞","N3"
"迷う","まよう","動詞","N3"
"迷子","まいご","名詞","N3"
"迷惑","めいわく","名詞","N3"
"鳴らす","ならす","動詞","N3"
"免許","めんきょ","名詞","N3"
"免税","めんぜい","名詞","N3"
"面会","めんかい","名詞","N3"
"面接","めんせつ","名詞","N3"
"面倒","めんどう","名詞","N3"
"面倒臭い","めんどうくさい","形容詞","N3"
"模様","もよう","名詞","N3"
"毛糸","けいと","名詞","N3"
"毛布","もうふ","名詞","N3"
"目下","めした","名詞","N3"
"目覚まし","めざまし","名詞","N3"
"目上","めうえ","名詞","N3"
"目的","もくてき","名詞","N3"
"目標","もくひょう","名詞","N3"
"目立つ","めだつ","動詞","N3"
"目眩","めまい","名詞","N3"
"勿体無い·物体無い","もったいない","名詞","N3"
"問い合わせ","といあわせ","名詞","N3"
"夜中","よなか","名詞","N3"
"夜明け","よあけ","名詞","N3"
"野","の","名詞","N3"
"矢っ張り","やっぱり","名詞","N3"
"薬局","やっきょく","名詞","N3"
"薬指","くすりゆび","名詞","N3"
"油","あぶら","名詞","N3"
"勇ましい","いさましい","形容詞","N3"
"勇気","ゆうき","名詞","N3"
"友","とも","名詞","N3"
"友情","ゆうじょう","名詞","N3"
"友人","ゆうじん","名詞","N3"
"有り難い","ありがたい","形容詞","N3"
"有料","ゆうりょう","名詞","N3"
"誘う","さそう","動詞","N3"
"郵送","ゆうそう","名詞","N3"
"郵便","ゆうびん","名詞","N3"
"夕焼け","ゆうやけ","名詞","N3"
"夕日","ゆうひ","名詞","N3"
"夕立","ゆうだち","名詞","N3"
"予算","よさん","名詞","N3"
"予想","よそう","名詞","N3"
"予報","よほう","名詞","N3"
"予防","よぼう","名詞","N3"
"与える","あたえる","動詞","N3"
"預かる","あずかる","動詞","N3"
"預ける","あずける","動詞","N3"
"幼い","おさない","形容詞","N3"
"幼児","ようじ","名詞","N3"
"幼稚園","ようちえん","名詞","N3"
"溶かす","とかす","動詞","N3"
"溶く","とく","動詞","N3"
"用","よう","名詞","N3"
"用件","ようけん","名詞","N3"
"用途","ようと","名詞","N3"
"要求","ようきゅう","名詞","N3"
"欲張り","よくばり","名詞","N3"
"頼もしい","たのもしい","形容詞","N3"
"落ち着く","おちつく","動詞","N3"
"利口","りこう","名詞","N3"
"理科","りか","名詞","N3"
"理解","りかい","名詞","N3"
"理想","りそう","名詞","N3"
"離婚","りこん","名詞","N3"
"立ち止まる","たちどまる","動詞","N3"
"立ち上がる","たちあがる","動詞","N3"
"立てる","たてる","動詞","N3"
"流す","ながす","動詞","N3"
"流行","りゅうこう","名詞","N3"
"溜まる","たまる","動詞","N3"
"溜め","ため","動詞","N3"
"留学","りゅうがく","名詞","N3"
"留守番","るすばん","名詞","N3"
"旅","たび","名詞","N3"
"両","りょう","接頭詞","N3"
"両がわ·両側","りょうがわ","名詞","N3"
"両替","りょうがえ","名詞","N3"
"料金","りょうきん","名詞","N3"
"量","りょう","名詞","N3"
"輪","わ","名詞","N3"
"涙","なみだ","名詞","N3"
"例外","れいがい","名詞","N3"
"冷ます","さます","動詞","N3"
"冷める","さめる","動詞","N3"
"冷やす","ひやす","動詞","N3"
"冷静","れいせい","名詞","N3"
"冷凍","れいとう","名詞","N3"
"列","れつ","名詞","N3"
"恋","こい","名詞","N3"
"恋人","こいびと","名詞","N3"
"連休","れんきゅう","名詞","N3"
"録音","ろくおん","名詞","N3"
"話し合い","はなしあい","名詞","N3"
"話し合う","はなしあう","動詞","N3"
"話し中","はなしちゅう","動詞","N3"
"話題","わだい","名詞","N3"
"詫び","わび","名詞","N3"
"儘","まま","名詞","N3"
"嗽","うがい","名詞","N3"
"嚏","くしゃみ","名詞","N3"
"埃","ほこり","名詞","N3"
"奢る","おごる","動詞","N3"
"炒める","いためる","動詞","N3"
"痒い","かゆい","形容詞","N3"
"眩しい","まぶしい","形容詞","N3"
"籤·鬮","くじ","名詞","N3"
"茹でる","ゆでる","動詞","N3"
"閧","とき","名詞","N3"
"騙す","だます","動詞","N3"
"剝く","すく","名詞","N3"
"摑む","つかむ","名詞","N3"
"擤む·挗む","かむ","名詞","N3"
"あて名","あてな","名詞","N2"
"おおげさ·大げさ","おおげさ","名詞","N2"
"お休み","おやすみ","名詞","N2"
"お参り","おまいり","名詞","N2"
"お手伝いさん","おてつだいさん","名詞","N2"
"お前","おまえ","名詞","N2"
"お早う","おはよう","感動詞","N2"
"お待ち遠様","おまちどおさま","名詞","N2"
"お代わり","おかわり","名詞","N2"
"お昼","おひる","名詞","N2"
"お喋り","おしゃべり","名詞","N2"
"お八つ·御八つ","おやつ","名詞","N2"
"お負け","おまけ","名詞","N2"
"かも知れない","かもしれない","助詞","N2"
"がら·柄","がら","名詞","N2"
"こむぎ·小麦","こむぎ","名詞","N2"
"ジェット機","ジェットき","名詞","N2"
"じゃん挙","じゃんけん","接続詞","N2"
"ため息","ためいき","名詞","N2"
"ちり紙","ちりがみ","名詞","N2"
"ばく大","ばくだい","名詞","N2"
"ひっくり返る","ひっくりかえる","動詞","N2"
"ぶら下げる","ぶらさげる","動詞","N2"
"ベリコプター","ヘリコプター","名詞","N2"
"よる·因る","よる","動詞","N2"
"ローマ字","ローマじ","名詞","N2"
"哀れ","あわれ","名詞","N2"
"愛情","あいじょう","名詞","N2"
"悪戯","いたずら","名詞","N2"
"悪口","わるくち","名詞","N2"
"悪魔","あくま","名詞","N2"
"圧縮","あっしゅく","名詞","N2"
"或いは","あるいは","接続詞","N2"
"或る","ある","連体詞","N2"
"安定","あんてい","名詞","N2"
"案","あん","名詞","N2"
"以降","いこう","名詞","N2"
"以来","いらい","名詞","N2"
"位地","いち","名詞","N2"
"位置","いち","名詞","N2"
"偉い","えらい","形容詞","N2"
"偉大","いだい","名詞","N2"
"委員","いいん","名詞","N2"
"威張る","いばる","動詞","N2"
"意外","いがい","名詞","N2"
"意思","いし","名詞","N2"
"意識","いしき","名詞","N2"
"慰める","なぐさめる","動詞","N2"
"易い","やすい","形容詞","N2"
"為す","なす","動詞","N2"
"為替","かわせ","名詞","N2"
"異なる","ことなる","動詞","N2"
"異常","いじょう","名詞","N2"
"移転","いてん","名詞","N2"
"移動","いどう","名詞","N2"
"維持","いじ","名詞","N2"
"緯度","いど","名詞","N2"
"胃","い","名詞","N2"
"萎む","しぼむ","動詞","N2"
"衣食住","いしょくじゅう","名詞","N2"
"衣服","いふく","名詞","N2"
"違いない","ちがいない","名詞","N2"
"井戸","いど","名詞","N2"
"一応","いちおう","副詞","N2"
"一家","いっか","名詞","N2"
"一休み","ひとやすみ","名詞","N2"
"一言","ひとこと","名詞","N2"
"一種","いっしゅ","名詞","N2"
"一瞬","いっしゅん","名詞","N2"
"一層","いっそう","副詞","N2"
"一旦","いったん","副詞","N2"
"一致","いっち","名詞","N2"
"一通り","ひととおり","名詞","N2"
"一定","いってい","名詞","N2"
"一般","いっぱん","名詞","N2"
"一方","いっぽう","接続詞","N2"
"一流","いちりゅう","名詞","N2"
"逸れる","それる","動詞","N2"
"稲","いね","名詞","N2"
"印刷","いんさつ","名詞","N2"
"引き止める","ひきとめる","動詞","N2"
"引き分け","ひきわけ","名詞","N2"
"引き返す","ひきかえす","動詞","N2"
"引っ掛かる","ひっかかる","動詞","N2"
"引っ繰り返す","ひっくりかえす","動詞","N2"
"引っ込む","ひっこむ","動詞","N2"
"引っ張る","ひっぱる","動詞","N2"
"引退","いんたい","名詞","N2"
"引用","いんよう","名詞","N2"
"引力","いんりょく","名詞","N2"
"陰","かげ","名詞","N2"
"羽根","はね","名詞","N2"
"餌","えさ","名詞","N2"
"影","かげ","名詞","N2"
"影響","えいきょう","名詞","N2"
"永い","ながい","形容詞","N2"
"永久","えいきゅう","名詞","N2"
"泳ぎ","およぎ","名詞","N2"
"英和","えいわ","名詞","N2"
"衛星","えいせい","名詞","N2"
"液体","えきたい","名詞","N2"
"益益","ますます","名詞","N2"
"越える","こえる","動詞","N2"
"越す","こす","動詞","N2"
"円周","えんしゅう","名詞","N2"
"園","えん","名詞","N2"
"園芸","えんげい","名詞","N2"
"延期","えんき","名詞","N2"
"延長","えんちょう","名詞","N2"
"援助","えんじょ","名詞","N2"
"演じる","えんじる","動詞","N2"
"演技","えんぎ","名詞","N2"
"演説","えんぜつ","名詞","N2"
"炎","ほのお","名詞","N2"
"煙い","けむい","形容詞","N2"
"煙突","えんとつ","名詞","N2"
"艶","つや","名詞","N2"
"汚染","おせん","名詞","N2"
"凹む","へこむ","動詞","N2"
"応じる","おうじる","動詞","N2"
"応ずる","おうずる","動詞","N2"
"応援","おうえん","名詞","N2"
"応接","おうせつ","名詞","N2"
"応対","おうたい","名詞","N2"
"応用","おうよう","名詞","N2"
"欧米","おうべい","名詞","N2"
"殴る","なぐる","動詞","N2"
"王","おう","名詞","N2"
"王女","おうじょ","名詞","N2"
"襖","ふすま","名詞","N2"
"黄色","きいろ","名詞","N2"
"沖","おき","名詞","N2"
"屋根","やね","名詞","N2"
"卸す","おろす","動詞","N2"
"恩","おん","名詞","N2"
"恩恵","おんけい","名詞","N2"
"温帯","おんたい","名詞","N2"
"温暖","おんだん","名詞","N2"
"穏やか","おだやか","名詞","N2"
"下降","かこう","名詞","N2"
"下車","げしゃ","名詞","N2"
"下線","かせん","名詞","N2"
"下駄","げた","名詞","N2"
"下町","したまち","名詞","N2"
"仮定","かてい","名詞","N2"
"仮名","かな","名詞","N2"
"仮名遣い","かなづかい","名詞","N2"
"何うせ","どうせ","名詞","N2"
"何か","なにか","名詞","N2"
"何しろ","なにしろ","副詞","N2"
"何て","なんて","名詞","N2"
"何で","なんで","副詞","N2"
"何でも","なんでも","名詞","N2"
"何とか","なんとか","副詞","N2"
"何と無く","なんとなく","副詞","N2"
"何も","なにも","名詞","N2"
"何れ·孰れ","いずれ","名詞","N2"
"何何","なになに","名詞","N2"
"何共","なんとも","名詞","N2"
"何処か","どこか","名詞","N2"
"何分","なにぶん","副詞","N2"
"加減","かげん","名詞","N2"
"加工","かこう","名詞","N2"
"加速","かそく","名詞","N2"
"加速度","かそくど","名詞","N2"
"加熱","かねつ","名詞","N2"
"可","か","名詞","N2"
"可愛がる","かわいがる","形容詞","N2"
"可決","かけつ","名詞","N2"
"可能","かのう","名詞","N2"
"嫁","よめ","名詞","N2"
"家屋","かおく","名詞","N2"
"家事","かじ","名詞","N2"
"家主","やぬし","名詞","N2"
"科","か","名詞","N2"
"果たして","はたして","副詞","N2"
"果実","かじつ","名詞","N2"
"架空","かくう","名詞","N2"
"歌謡","かよう","名詞","N2"
"火口","かこう","名詞","N2"
"火山","かざん","名詞","N2"
"火曜","かよう","名詞","N2"
"箇所","かしょ","名詞","N2"
"花嫁","はなよめ","名詞","N2"
"菓子","かし","名詞","N2"
"課","か","名詞","N2"
"課税","かぜい","名詞","N2"
"課程","かてい","名詞","N2"
"貨物","かもつ","名詞","N2"
"過ち","あやまち","名詞","N2"
"過去","かこ","名詞","N2"
"過失","かしつ","名詞","N2"
"過剰","かじょう","名詞","N2"
"過程","かてい","名詞","N2"
"過半数","かはんすう","名詞","N2"
"蚊","か","名詞","N2"
"我が","わが","連体詞","N2"
"我我","われわれ","名詞","N2"
"我侭","わがまま","名詞","N2"
"我慢","がまん","名詞","N2"
"芽","め","名詞","N2"
"会計","かいけい","名詞","N2"
"会見","かいけん","名詞","N2"
"解く","とく","動詞","N2"
"解ける","とける","動詞","N2"
"解散","かいさん","名詞","N2"
"解釈","かいしゃく","名詞","N2"
"解答","かいとう","名詞","N2"
"解放","かいほう","名詞","N2"
"回す","まわす","動詞","N2"
"回数","かいすう","名詞","N2"
"回転","かいてん","名詞","N2"
"回答","かいとう","名詞","N2"
"回復","かいふく","名詞","N2"
"快晴","かいせい","名詞","N2"
"快適","かいてき","名詞","N2"
"悔やむ","くやむ","動詞","N2"
"懐かしい","なつかしい","形容詞","N2"
"改めて","あらためて","副詞","N2"
"改める","あらためる","動詞","N2"
"改札","かいさつ","名詞","N2"
"改正","かいせい","名詞","N2"
"改善","かいぜん","名詞","N2"
"改造","かいぞう","名詞","N2"
"海洋","かいよう","名詞","N2"
"灰","はい","名詞","N2"
"絵の具","えのぐ","名詞","N2"
"開会","かいかい","名詞","N2"
"開催","かいさい","名詞","N2"
"開始","かいし","名詞","N2"
"開通","かいつう","名詞","N2"
"開放","かいほう","名詞","N2"
"貝","かい","名詞","N2"
"外れる","はずれる","動詞","N2"
"外科","げか","名詞","N2"
"外交","がいこう","名詞","N2"
"害","がい","名詞","N2"
"概論","がいろん","名詞","N2"
"垣根","かきね","名詞","N2"
"各々","おのおの","名詞","N2"
"各自","かくじ","名詞","N2"
"各地","かくち","名詞","N2"
"拡充","かくじゅう","名詞","N2"
"拡張","かくちょう","名詞","N2"
"殻","から","名詞","N2"
"確実","かくじつ","名詞","N2"
"確保","かくほ","名詞","N2"
"角度","かくど","名詞","N2"
"隔たる","へだたる","動詞","N2"
"隔てる","へだてる","動詞","N2"
"革","かわ","名詞","N2"
"学","がく","名詞","N2"
"学科","がっか","名詞","N2"
"学会","がっかい","名詞","N2"
"学期","がっき","名詞","N2"
"学級","がっきゅう","名詞","N2"
"学術","がくじゅつ","名詞","N2"
"学年","がくねん","名詞","N2"
"額","ひたい","名詞","N2"
"割と","わりと","名詞","N2"
"割合","わりあい","名詞","N2"
"括弧","かっこ","名詞","N2"
"活字","かつじ","名詞","N2"
