어휘,품사,레벨
마사지,명사,3급
마우스,명사,3급
마음대로,부사,3급
마음씨,명사,3급
마이크,명사,3급
마침,부사,3급
막01,부사,3급
막02,부사,3급
막내,명사,3급
막다,동사,3급
막대기,명사,3급
막차,명사,3급
만05/만00,관형사/명사,3급
만남,명사,3급
만족,명사,3급
만족스럽다,형용사,3급
많아지다,동사,3급
말다01,동사,3급
말리다03,동사,3급
말하기,명사,3급
맞다02,동사,3급
맞다03,동사,3급
맞은편,명사,3급
맞이하다,동사,3급
맡기다,동사,3급
맡다01,동사,3급
맡다02,동사,3급
매01,명사,3급
매달다,동사,3급
매운맛,명사,3급
매운탕,명사,3급
매장03,명사,3급
매점,명사,3급
매진01,명사,3급
맨발,명사,3급
먼지,명사,3급
멀미,명사,3급
멋지다,형용사,3급
멍,명사,3급
메뉴판,명사,3급
메모지,명사,3급
멜로디,명사,3급
면02,명사,3급
면적,명사,3급
면접,명사,3급
면허증,명사,3급
멸치,명사,3급
명단,명사,3급
명함,명사,3급
몇몇02/몇몇01,관형사/수사,3급
모니터,명사,3급
모델,명사,3급
모래,명사,3급
모범,명사,3급
모자01,명사,3급
모집,명사,3급
목02,명사,3급
목록,명사,3급
목적지,명사,3급
목표,명사,3급
몰래,부사,3급
몸무게,명사,3급
몸살,명사,3급
몸짓,명사,3급
묘사,명사,3급
무늬,명사,3급
무대,명사,3급
무더위,명사,3급
무덤,명사,3급
무서워하다,동사,3급
무역,명사,3급
무용03,명사,3급
무조건02/무조건01,부사/명사,3급
묵다02,동사,3급
묶다,동사,3급
문구점,명사,3급
문방구,명사,3급
문법,명사,3급
문병,명사,3급
문의,명사,3급
문자,명사,3급
문장01,명사,3급
문학,명사,3급
문화재,명사,3급
묻다01,동사,3급
-물,접사,3급
물가01,명사,3급
물가02,명사,3급
물다01,동사,3급
물러나다,동사,3급
물러서다,동사,3급
물리다02,동사,3급
물소리,명사,3급
물약,명사,3급
물음,명사,3급
뮤지컬,명사,3급
미국인00,명사,3급
미끄럽다,형용사,3급
미루다,동사,3급
미만,명사,3급
미성년자,명사,3급
미소,명사,3급
미술,명사,3급
미용사,명사,3급
미인,명사,3급
미장원,명사,3급
미팅,명사,3급
민속놀이,명사,3급
밀리다01,동사,3급
밉다,형용사,3급
및,부사,3급
밑줄,명사,3급
바01,의존명사,3급
바구니,명사,3급
바늘,명사,3급
바닷물,명사,3급
바둑,명사,3급
바보,명사,3급
바위,명사,3급
바퀴01/바퀴02,명사/의존명사,3급
바탕,명사,3급
박02,의존명사,3급
박사,명사,3급
반납,명사,3급
반달01,명사,3급
반대말,명사,3급
반대쪽,명사,3급
반말,명사,3급
반면01,명사,3급
반복,명사,3급
반죽,명사,3급
반창고,명사,3급
반팔,명사,3급
반하다01,동사,3급
발급,명사,3급
발달,명사,3급
발명,명사,3급
발목,명사,3급
발음,명사,3급
발전01,명사,3급
발표,명사,3급
발행,명사,3급
밝히다,동사,3급
밟다,동사,3급
밤02,명사,3급
밤늦다,형용사,3급
밤새,명사,3급
밤색,명사,3급
밥그릇,명사,3급
밥솥,명사,3급
방송사,명사,3급
방식,명사,3급
방울01,명사,3급
방해,명사,3급
배고프다,형용사,3급
배구,명사,3급
배낭,명사,3급
배낭여행,명사,3급
배웅,명사,3급
배치,명사,3급
배터리,명사,3급
배편,명사,3급
백00,명사,3급
뱃속,명사,3급
버섯02,명사,3급
버터,명사,3급
버튼,명사,3급
번개,명사,3급
번역,명사,3급
번지,명사,3급
번호표,명사,3급
벌04,명사,3급
벌금,명사,3급
범죄,명사,3급
법01,명사,3급
법칙,명사,3급
벗기다,동사,3급
베란다,명사,3급
벤치,명사,3급
벨,명사,3급
벨트,명사,3급
벽시계,명사,3급
벽지02,명사,3급
변경02,명사,3급
변비,명사,3급
변화,명사,3급
-별,접사,3급
별02,관형사,3급
별말씀,명사,3급
별명,명사,3급
별일,명사,3급
병실,명사,3급
보고02,명사,3급
보고서,명사,3급
보관,명사,3급
보기01,명사,3급
보너스,명사,3급
보람,명사,3급
보름,명사,3급
보름달,명사,3급
보리,명사,3급
보석02,명사,3급
보행자,명사,3급
보험,명사,3급
보호,명사,3급
복,명사,3급
복도,명사,3급
복사,명사,3급
복사기,명사,3급
복숭아,명사,3급
복용,명사,3급
복통,명사,3급
본인01/본인02,명사/대명사,3급
볼거리,명사,3급
볼링,명사,3급
볼일,명사,3급
봉사02,명사,3급
봉지,명사,3급
뵈다02,동사,3급
부01/부02,명사/의존명사,3급
부담,명사,3급
부동산,명사,3급
부러워하다,동사,3급
부러지다,동사,3급
부리다02,동사,3급
부모,명사,3급
부인03,명사,3급
부자01,명사,3급
부잣집,명사,3급
부채01,명사,3급
부츠,명사,3급
부친,명사,3급
북02,명사,3급
북부,명사,3급
분단03,명사,3급
분리,명사,3급
분명히,부사,3급
분실,명사,3급
분실물,명사,3급
분필,명사,3급
불-02,접사,3급
불규칙,명사,3급
불균형,명사,3급
불만,명사,3급
불만족,명사,3급
불만족스럽다,형용사,3급
불어,명사,3급
불완전,명사,3급
불평01,명사,3급
붐비다,동사,3급
붓다01,동사,3급
붓다02,동사,3급
뷔페,명사,3급
-비,접사,3급
비밀번호,명사,3급
비비다,동사,3급
비상구,명사,3급
비용,명사,3급
비자,명사,3급
비키다,동사,3급
비타민,명사,3급
비하다,동사,3급
비행03,명사,3급
비행장,명사,3급
빈자리,명사,3급
빌다01,동사,3급
빗다,동사,3급
빛,명사,3급
빠지다01,동사,3급
빨강,명사,3급
빨개지다,동사,3급
빨다01,동사,3급
뺏다,동사,3급
뼈,명사,3급
뽀뽀,명사,3급
뿌리,명사,3급
뿌리다,동사,3급
삐다,동사,3급
-사01,접사,3급
사건,명사,3급
사과02,명사,3급
사교적01/사교적02,관형사/명사,3급
사나이,명사,3급
사라지다,동사,3급
사무,명사,3급
사무소,명사,3급
사물,명사,3급
사생활,명사,3급
사업가,명사,3급
사용법,명사,3급
사우나,명사,3급
사이트,명사,3급
사인02,동사,3급
사자02,명사,3급
사적01/사적02,관형사/명사,3급
사전00,명사,3급
사전01,명사,3급
사진관,명사,3급
사촌,명사,3급
사항,명사,3급
사회02,명사,3급
사회자,명사,3급
사회적01/사회적02,관형사/명사,3급
삭제,명사,3급
산꼭대기,명사,3급
산업,명사,3급
살아나다,동사,3급
살인,명사,3급
살짝,부사,3급
살찌다,동사,3급
살펴보다,동사,3급
살피다,동사,3급
삶,명사,3급
삶다,동사,3급
상01,명사,3급
상02,명사,3급
상관없다,형용사,3급
상담,명사,3급
상대방,명사,3급
상식,명사,3급
상영,명사,3급
상점,명사,3급
상태,명사,3급
상하다,동사,3급
상황,명사,3급
새로이,부사,3급
새엄마,명사,3급
새우,명사,3급
새집01,명사,3급
샌들,명사,3급
-생02,접사,3급
생년월일,명사,3급
생머리,명사,3급
생활비,명사,3급
생활용품,명사,3급
샴푸,명사,3급
서02,명사,3급
서넛,수사,3급
서명,명사,3급
서부,명사,3급
서투르다,형용사,3급
석유,명사,3급
선04,명사,3급
선글라스,명사,3급
선약,명사,3급
설01,명사,3급
설명서,명사,3급
설문,명사,3급
설문지,명사,3급
설사01,명사,3급
성당,명사,3급
성명01,명사,3급
성별,명사,3급
성실,명사,3급
성인01,명사,3급
세기,명사,3급
세다02,동사,3급
세련되다,형용사,3급
세로01/세로02,명사/부사,3급
세월,명사,3급
세일,명사,3급
세제01,명사,3급
세차,명사,3급
세탁물,명사,3급
세트,명사,3급
센티,의존명사,3급
셔츠,명사,3급
-소,접사,3급
소-02,접사,3급
소감,명사,3급
소개팅,명사,3급
소극장,명사,3급
소금물,명사,3급
소나기,명사,3급
소독,명사,3급
소독약,명사,3급
소매01,명사,3급
소문,명사,3급
소방관,명사,3급
소방서,명사,3급
소변,명사,3급
소설가,명사,3급
소설책,명사,3급
소시지,명사,3급
소아과,명사,3급
소요01,명사,3급
소원,명사,3급
소화,명사,3급
속담,명사,3급
속상하다,형용사,3급
손가방,명사,3급
손등,명사,3급
손목,명사,3급
손목시계,명사,3급
손발,명사,3급
손뼉,명사,3급
손자,명사,3급
솜씨,명사,3급
송별회,명사,3급
송이,명사,3급
쇠고기,명사,3급
쇼,명사,3급
쇼핑몰,명사,3급
쇼핑센터,명사,3급
수06,명사,3급
수다,명사,3급
수단01,명사,3급
수도01,명사,3급
수도02,명사,3급
수량,명사,3급
수리03,명사,3급
수면02,명사,3급
수면제,명사,3급
수선02,명사,3급
수수료,명사,3급
수입01,명사,3급
수입02,명사,3급
수정03,명사,3급
수집02,명사,3급
수출,명사,3급
수표,명사,3급
수학02,명사,3급
숙박,명사,3급
숙박비,명사,3급
숙소,명사,3급
순간,명사,3급
술잔,명사,3급
숨다,동사,3급
숲,명사,3급
쉬다02,동사,3급
쉿,감탄사,3급
슈퍼,명사,3급
스무째00,수사/관형사/명사,3급
스커트,명사,3급
스타일,명사,3급
스타킹,명사,3급
슬리퍼,명사,3급
습기,명사,3급
습도,명사,3급
습하다,형용사,3급
승객,명사,3급
승무원,명사,3급
승진,명사,3급
승차,명사,3급
승차권,명사,3급
시04,명사,3급
시각01,명사,3급
시기01,명사,3급
시내버스,명사,3급
시대,명사,3급
시디,명사,3급
시설,명사,3급
시아버지,명사,3급
시외,명사,3급
시외버스,명사,3급
시장01,명사,3급
시집01,명사,3급
시집02,명사,3급
시험지,명사,3급
식기,명사,3급
식당가,명사,3급
식료품,명사,3급
식비,명사,3급
식사량,명사,3급
식용유,명사,3급
식중독,명사,3급
식품점,명사,3급
식후,명사,3급
식히다,동사,3급
신경,명사,3급
신고,명사,3급
신기하다01,형용사,3급
신나다,동사,3급
신문사,명사,3급
신문지,명사,3급
신부01,명사,3급
신분,명사,3급
신사,명사,3급
신용,명사,3급
신입,명사,3급
신입생,명사,3급
신청서,명사,3급
신체,명사,3급
신혼,명사,3급
신혼부부,명사,3급
실01,명사,3급
실내,명사,3급
실력,명사,3급
실리다01,동사,3급
실망,명사,3급
실제로,부사,3급
실종,명사,3급
실컷,부사,3급
싫증,명사,3급
-심,접사,3급
심각하다,형용사,3급
심리,명사,3급
싱싱하다,형용사,3급
싸다02,동사,3급
쌍,명사,3급
쌍둥이,명사,3급
쌓이다,동사,3급
썩다,동사,3급
쏟다,동사,3급
쏟아지다,동사,3급
쓰기,명사,3급
쓰이다01,동사,3급
쓰이다02,동사,3급
쓸다,동사,3급
씨01,명사,3급
-씩,접사,3급
아가,명사,3급
아끼다,동사,3급
아냐,감탄사,3급
아래층,명사,3급
아랫사람,명사,3급
아랫집,명사,3급
아쉽다,명사,3급
아시아,명사,3급
아이02,감탄사,3급
아이고,감탄사,3급
아이디어,명사,3급
아침밥,명사,3급
아침저녁00,명사,3급
아프리카,명사,3급
아픔,명사,3급
아홉째02/아홉째01/아홉째03,수사/관형사/명사,3급
악수,명사,3급
안과,명사,3급
안내서00,명사,3급
안내원,명사,3급
안내판,명사,3급
안방,명사,3급
안부,명사,3급
안색,명사,3급
안심02,명사,3급
안약,명사,3급
안전띠,명사,3급
안정01,명사,3급
않다01,동사,3급
알01/알02,명사/의존명사,3급
알레르기,명사,3급
알려지다,동사,3급
알아내다,동사,3급
알아듣다,동사,3급
암02,명사,3급
앗,감탄사,3급
앞날,명사,3급
앞뒤,명사,3급
앞머리,명사,3급
앞집,명사,3급
애기,명사,3급
애완동물,명사,3급
액세서리,명사,3급
액자,명사,3급
야경,명사,3급
야근,명사,3급
야외,명사,3급
약도,명사,3급
약품,명사,3급
양02,명사,3급
양04,관형사,3급
양06,명사,3급
양념,명사,3급
양력,명사,3급
양배추,명사,3급
양보,명사,3급
양산01,명사,3급
양식04,명사,3급
양옆,명사,3급
양쪽,명사,3급
양파,명사,3급
얘03,줄어든꼴,3급
-어01,접사,3급
어기다,동사,3급
어느새,부사,3급
어떡하다,줄어든꼴,3급
어려움,명사,3급
어머,감탄사,3급
어저께02/어저께01,부사/명사,3급
어지럽다,형용사,3급
어휘,명사,3급
어휴,감탄사,3급
언덕,명사,3급
얼룩,명사,3급
얼른,부사,3급
얼마간,명사,3급
업다,동사,3급
업무,명사,3급
없애다,동사,3급
없어지다,동사,3급
없이,부사,3급
엊그제02/엊그제01,명사/부사,3급
에스컬레이터,명사,3급
여02,명사,3급
-여02,접사,3급
여가,명사,3급
여관,명사,3급
여기다,동사,3급
여덟째02/여덟째01/여덟째03,수사/관형사/명사,3급
여드름,명사,3급
여름철,명사,3급
여름휴가,명사,3급
여보,감탄사,3급
여섯째02/여섯째01/여섯째03,수사/관형사/명사,3급
여유,명사,3급
여유롭다,형용사,3급
여인,명사,3급
여쭈다,동사,3급
역사가,명사,3급
역사적01/역사적02,관형사/명사,3급
역할,명사,3급
연01,명사,3급
연고01,명사,3급
연구,명사,3급
연기01,명사,3급
연기03,명사,3급
연두색,명사,3급
연인,명사,3급
연장02,명사,3급
연주,명사,3급
연주회,명사,3급
연하다,형용사,3급
열리다01,동사,3급
열쇠고리,명사,3급
열째02/열째01/열째03,수사/관형사/명사,3급
영01,부사,3급
영리하다,형용사,3급
영상01,명사,3급
영상02,명사,3급
영양,명사,3급
영양제,명사,3급
영웅,명사,3급
영원히,부사,3급
영향,명사,3급
예05,명사,3급
예06,명사,3급
예금,명사,3급
예방,명사,3급
예보,명사,3급
예상,명사,3급
예식장,명사,3급
예의,명사,3급
예절,명사,3급
예정,명사,3급
예측,명사,3급
예컨대,부사,3급
옛날이야기,명사,3급
오02,감탄사,3급
오락실,명사,3급
오래오래,부사,3급
오랜,관형사,3급
오른편,명사,3급
오리,명사,3급
오징어,명사,3급
오토바이,명사,3급
오페라,명사,3급
오피스텔,명사,3급
오해,명사,3급
온,관형사,3급
온몸,명사,3급
온천,명사,3급
올,명사,3급
올라서다,동사,3급
올려놓다,동사,3급
올바르다,형용사,3급
올여름,명사,3급
옮기다,동사,3급
옷차림,명사,3급
와인,명사,3급
완성,명사,3급
왕복,명사,3급
외02,의존명사,3급
외과,명사,3급
외교,명사,3급
외교관,명사,3급
외모,명사,3급
외박,명사,3급
외부,명사,3급
외삼촌,명사,3급
외숙모,명사,3급
외식,명사,3급
외투01,명사,3급
외할머니,명사,3급
외할아버지,명사,3급
왼발,명사,3급
요01,명사,3급
요가,명사,3급
요구르트,명사,3급
요리법,명사,3급
욕실,명사,3급
-용,접사,3급
용02,명사,3급
용기01,명사,3급
용돈,명사,3급
용품,명사,3급
우물,명사,3급
우선02,명사,3급
우수03,명사,3급
우연히,부사,3급
우울,명사,3급
우정,명사,3급
우주,명사,3급
우체통,명사,3급
우측,명사,3급
우편02,명사,3급
우편물,명사,3급
우편함,명사,3급
우회전,명사,3급
운01,명사,3급
운동량,명사,3급
운동선수,명사,3급
운명01,명사,3급
운전면허00,명사,3급
울리다01,동사,3급
울리다02,동사,3급
웃어른,명사,3급
-원02,접사,3급
원래02/원래01,명사/부사,3급
원룸,명사,3급
원숭이,명사,3급
원인,명사,3급
월03,명사,3급
월드컵,명사,3급
월세,명사,3급
웬일,명사,3급
위03,의존명사,3급
위층,명사,3급
위하다,동사,3급
윗글0,명사,3급
윗사람,명사,3급
유람선,명사,3급
유럽,명사,3급
유료,명사,3급
유머,명사,3급
유물,명사,3급
유적,명사,3급
유적지,명사,3급
-율02,접사,3급
으악02,감탄사,3급
은01,명사,3급
음력,명사,3급
음성01,명사,3급
음식물,명사,3급
음악회,명사,3급
음주,명사,3급
응급실,명사,3급
응원,명사,3급
의견,명사,3급
의논,명사,3급
이곳저곳,명사,3급
이국적01/이국적02,관형사/명사,3급
이끌다,동사,3급
이동,명사,3급
이따,부사,3급
이래서,줄어든꼴,3급
이러다,동사,3급
이런저런,관형사,3급
이력서,명사,3급
이루다,동사,3급
이루어지다,동사,3급
이름표,명사,3급
이리02,부사,3급
이만02,부사,3급
이메일,명사,3급
이미지,명사,3급
이비인후과,명사,3급
이성02,명사,3급
이웃집,명사,3급
이자02,명사,3급
이하,명사,3급
익히다02,동사,3급
인구,명사,3급
인도02,명사,3급
인삼차,명사,3급
인상03,명사,3급
인상적01/인상적02,관형사/명사,3급
인생,명사,3급
인쇄,명사,3급
인스턴트,명사,3급
인심,명사,3급
인원,명사,3급
인터뷰,명사,3급
일04,명사,3급
일곱째02/일곱째01/일곱째03,수사/관형사/명사,3급
일반,명사,3급
일본어,명사,3급
일본인00,명사,3급
일부러,부사,3급
일상생활,명사,3급
일어,명사,3급
일자리,명사,3급
일정01,명사,3급
일정02,명사,3급
일정표,명사,3급
일출,명사,3급
일행,명사,3급
읽기,명사,3급
입국,명사,3급
입맛,명사,3급
입장료,명사,3급
입학시험,명사,3급
입학식,명사,3급
잇다,동사,3급
자01,명사,3급
자03,감탄사,3급
자04,명사,3급
자가용,명사,3급
자격,명사,3급
자기02/자기01,대명사/명사,3급
자녀,명사,3급
자동,명사,3급
자료,명사,3급
자리02,명사,3급
자매,명사,3급
자세하다,형용사,3급
자신02,명사,3급
자유롭다,형용사,3급
자주색,명사,3급
작성,명사,3급
작은아버지,명사,3급
작은어머니,명사,3급
작은집,명사,3급
잔돈02,명사,3급
잔디밭,명사,3급
잠그다01,동사,3급
잠기다01,동사,3급
잠옷,명사,3급
잡아먹다,동사,3급
잡히다02,동사,3급
-장07,접사,3급
장단점,명사,3급
장래,명사,3급
장례식,명사,3급
장마철,명사,3급
장면,명사,3급
장미꽃00,명사,3급
장수02,명사,3급
장식,명사,3급
장점,명사,3급
장학금,명사,3급
재다02,동사,3급
재킷,명사,3급
재학,명사,3급
재활용,명사,3급
잼,명사,3급
쟤,줄어든꼴,3급
저기02,감탄사,3급
저녁때,명사,3급
저러다,동사,3급
저렴하다,형용사,3급
저울,명사,3급
저자03,명사,3급
저축,명사,3급
-적,접사,3급
적어도,부사,3급
적응,명사,3급
적히다,동사,3급
전국,명사,3급
전국적01/전국적02,관형사/명사,3급
전날,명사,3급
전달02,명사,3급
전망,명사,3급
전문02,명사,3급
전문가,명사,3급
전문점,명사,3급
전설,명사,3급
전세01,명사,3급
전시01,명사,3급
전시회,명사,3급
전용01,명사,3급
전원00,명사,3급
전원02,명사,3급
전자02,명사,3급
전자레인지,명사,3급
전자사전,명사,3급
전쟁,명사,3급
전통,명사,3급
전통적01/전통적02,관형사/명사,3급
절01,명사,3급
절02,명사,3급
절03,명사,3급
절대01/절대02,명사/부사,3급
절대로,부사,3급
절약,명사,3급
젊은이,명사,3급
-점,접사,3급
점02/점03,명사/의존명사,3급
점원,명사,3급
점차02/점차01,부사/명사,3급
점퍼,명사,3급
접수02,명사,3급
젓다,동사,3급
정04,명사,3급
정답,명사,3급
정말로,부사,3급
정보,명사,3급
정수기,명사,3급
정신,명사,3급
정신없다,형용사,3급
정신없이,부사,3급
정오,명사,3급
정원01,명사,3급
정육점,명사,3급
정장,명사,3급
정치,명사,3급
정형외과,명사,3급
정확히,부사,3급
제-,접사,3급
제04,줄어든꼴,3급
제공,명사,3급
제과점,명사,3급
제대로,부사,3급
제시간,명사,3급
제안,명사,3급
제출,명사,3급
제품,명사,3급
조건,명사,3급
조깅,명사,3급
조끼,명사,3급
조리04,명사,3급
조미료,명사,3급
조사03,명사,3급
조상,명사,3급
조언,명사,3급
존경,명사,3급
졸리다01,동사,3급
졸업생,명사,3급
졸업식,명사,3급
종교,명사,3급
종이컵,명사,3급
종일02/종일01,명사/부사,3급
종합,명사,3급
좌석,명사,3급
좌측,명사,3급
좌회전,명사,3급
주간04/주간05,명사/의존명사,3급
주고받다,동사,3급
주민,명사,3급
주방,명사,3급
주요,명사,3급
주유소,명사,3급
주의02,명사,3급
주인공,명사,3급
주제,명사,3급
주차권,명사,3급
주차료,명사,3급
죽03,명사,3급
죽음,명사,3급
죽이다01,동사,3급
준비물,명사,3급
줄넘기,명사,3급
줄무늬,명사,3급
중01,명사,3급
중고,명사,3급
중고차,명사,3급
중국어,명사,3급
중국인00,명사,3급
중급,명사,3급
중단,명사,3급
중부,명사,3급
중순,명사,3급
중식,명사,3급
중심지,명사,3급
중형차,명사,3급
쥐01,명사,3급
즉,부사,3급
즉시,명사,3급
즐거움,명사,3급
증가,명사,3급
증명서,명사,3급
증상,명사,3급
증세01,명사,3급
지각01,명사,3급
지나치다02,형용사,3급
지난날,명사,3급
지다01,동사,3급
지도02,명사,3급
지방03,명사,3급
지붕,명사,3급
지역,명사,3급
지원02,명사,3급
지저분하다,형용사,3급
지퍼,명사,3급
직장인,명사,3급
직진,명사,3급
진단서,명사,3급
진심,명사,3급
진찰,명사,3급
진통제,명사,3급
진학,명사,3급
진행,명사,3급
진행자,명사,3급
질01,명사,3급
집다,동사,3급
집세,명사,3급
집안,명사,3급
집중,명사,3급
짜다01,동사,3급
짜다02,동사,3급
-짜리,접사,3급
쪽02,명사,3급
쭉,부사,3급
-쯤,접사,3급
찌르다,동사,3급
찜질,명사,3급
찢다,동사,3급
찢어지다,동사,3급
차량,명사,3급
차로,명사,3급
차리다,동사,3급
차림표,명사,3급
차이,명사,3급
차이점,명사,3급
찬성,명사,3급
참가,명사,3급
참고,명사,3급
참기름,명사,3급
참석,명사,3급
창03,명사,3급
창가01,명사,3급
창고,명사,3급
창구,명사,3급
창밖,명사,3급
창피,명사,3급
채우다02,동사,3급
책가방,명사,3급
챙기다,동사,3급
처녀,명사,3급
처방,명사,3급
처방전,명사,3급
천둥,명사,3급
천사,명사,3급
천장,명사,3급
천재01,명사,3급
철01,명사,3급
철도,명사,3급
첫눈01,명사,3급
첫눈02,명사,3급
첫인상,명사,3급
청소기,명사,3급
청혼,명사,3급
체력,명사,3급
체크무늬,명사,3급
체하다02,동사,3급
체험,명사,3급
초급,명사,3급
초록02,명사,3급
촌스럽다,형용사,3급
총01,명사,3급
촬영,명사,3급
최고급,명사,3급
최선,명사,3급
최저,명사,3급
추억,명사,3급
추천,명사,3급
추측,명사,3급
축구장,명사,3급
축제,명사,3급
출국,명사,3급
충분히,부사,3급
취하다02,동사,3급
취향,명사,3급
치다03,동사,3급
치료법,명사,3급
치르다,동사,3급
치수01,명사,3급
치우다01,동사,3급
치즈,명사,3급
친-,접사,3급
친딸,명사,3급
칸,명사,3급
커지다,동사,3급
커튼,명사,3급
코너,명사,3급
코미디,명사,3급
코스,명사,3급
코트01,명사,3급
코트02,명사,3급
코피,명사,3급
콘도,명사,3급
콜록콜록,부사,3급
콧노래,명사,3급
큰길,명사,3급
큰아버지,명사,3급
큰어머니,명사,3급
클래식,명사,3급
키스,명사,3급
탁자,명사,3급
탑승,명사,3급
탑승객,명사,3급
태우다02,동사,3급
터뜨리다,동사,3급
털,명사,3급
털다,동사,3급
테이프,명사,3급
토02,명사,3급
토론,명사,3급
토하다,동사,3급
통04,부사,3급
통05,명사,3급
통신,명사,3급
통역,명사,3급
통일,명사,3급
통통하다,형용사,3급
통하다,동사,3급
특기01,명사,3급
특성,명사,3급
특징,명사,3급
틀림없이,부사,3급
틈틈이,부사,3급
파01,명사,3급
파다,동사,3급
파도,명사,3급
파랑01,명사,3급
파마,명사,3급
파일,명사,3급
파출소,명사,3급
판매,명사,3급
패션,명사,3급
팬티,명사,3급
퍼센트,의존명사,3급
페이지,명사,3급
편02,의존명사,3급
편식,명사,3급
평가,명사,3급
포기02,명사,3급
포도주,명사,3급
포크,명사,3급
포함,명사,3급
폭포,명사,3급
표01,명사,3급
표시02,명사,3급
표정,명사,3급
표지판,명사,3급
표현,명사,3급
풀01,명사,3급
풀리다,동사,3급
품질,명사,3급
풍선,명사,3급
풍습,명사,3급
프린터,명사,3급
플라스틱,명사,3급
피로,명사,3급
피부,명사,3급
피서,명사,3급
피하다,동사,3급
피해,명사,3급
피해자,명사,3급
하나하나01/하나하나02,명사/부사,3급
하숙,명사,3급
하양,명사,3급
하차,명사,3급
하품,명사,3급
하하01,부사,3급
-학,접사,3급
학과,명사,3급
학습,명사,3급
학자,명사,3급
한국말,명사,3급
한국어,명사,3급
한국인,명사,3급
한동안,명사,3급
한때01/한때02,명사/부사,3급
한문,명사,3급
한숨02,명사,3급
한자,명사,3급
한쪽,명사,3급
한참00/한참,명사/부사,3급
할인점,명사,3급
합격,명사,3급
합계,명사,3급
합치다,동사,3급
항공료,명사,3급
해결,명사,3급
해돋이,명사,3급
해물,명사,3급
해변,명사,3급
해산물,명사,3급
해수욕장,명사,3급
핸드백,명사,3급
햇볕,명사,3급
-행,접사,3급
행사장,명사,3급
행운,명사,3급
향수,명사,3급
향하다,동사,3급
허락,명사,3급
허리띠,명사,3급
허벅지,명사,3급
현관,명사,3급
현대,명사,3급
형태,명사,3급
호두,명사,3급
호박,명사,3급
호실,명사,3급
혹은,부사,3급
혼나다,동사,3급
홈페이지,명사,3급
화02,명사,3급
화면,명사,3급
화분,명사,3급
화장01,명사,3급
화장대,명사,3급
화재,명사,3급
화폐,명사,3급
화해,명사,3급
확인,명사,3급
환불,명사,3급
환상적01/환상적02,관형사/명사,3급
환승역,명사,3급
환영회,명사,3급
환율,명사,3급
환하다,형용사,3급
활동,명사,3급
활발하다,형용사,3급
활짝,부사,3급
회02,명사,3급
회비,명사,3급
회식,명사,3급
회의실,명사,3급
회장01,명사,3급
횟수,명사,3급
효과,명사,3급
후반,명사,3급
후식,명사,3급
후추,명사,3급
후회,명사,3급
휴가철,명사,3급
휴대,명사,3급
휴식,명사,3급
휴학,명사,3급
흘러가다,동사,3급
희다00,형용사,3급
희생,명사,3급
-가02,접사,4급
가능성,명사,4급
가라앉다,동사,4급
-가량,접사,4급
가로등,명사,4급
가로막다,동사,4급
가르다,동사,4급
가리다03,동사,4급
가만01,부사,4급
가만있다,동사,4급
가만히,부사,4급
가뭄,명사,4급
가사03,명사,4급
가장02,명사,4급
가정02,명사,4급
가정주부,명사,4급
가져다주다,동사,4급
가지01,명사,4급
가짜,명사,4급
가치,명사,4급
가치관,명사,4급
가톨릭,명사,4급
각국,명사,4급
각오,명사,4급
각종,명사,4급
-간,접사,4급
간03,명사,4급
간04,의존명사,4급
간격,명사,4급
간섭,명사,4급
간신히,부사,4급
간절하다,형용사,4급
간접적01∙ 간접적02,관형사∙ 명사,4급
간지럽다,형용사,4급
간편하다,형용사,4급
간혹02/간혹01,부사/명사,4급
갇히다,동사,4급
갈등,명사,4급
갈라지다,동사,4급
갈수록,부사,4급
감상문,명사,4급
감소,명사,4급
감시,명사,4급
감싸다,동사,4급
감옥,명사,4급
감추다,동사,4급
감히,부사,4급
갑작스럽다,형용사,4급
값싸다,형용사,4급
강도03,명사,4급
강수량,명사,4급
강요,명사,4급
강의,명사,4급
강의실,명사,4급
강제,명사,4급
강조,명사,4급
갖가지,명사,4급
갖추다,동사,4급
개구리,명사,4급
개념,명사,4급
개다03,동사,4급
개미,명사,4급
개발,명사,4급
개방,명사,4급
개별,명사,4급
개선01,명사,4급
개성,명사,4급
개최,명사,4급
개혁,명사,4급
-객,접사,4급
객관적01∙ 객관적02,관형사∙ 명사,4급
거대,명사,4급
거두다,동사,4급
거들다,동사,4급
거래,명사,4급
거래처,명사,4급
거미,명사,4급
거북이,명사,4급
거지,명사,4급
거짓,명사,4급
거치다,동사,4급
거칠다,형용사,4급
걱정스럽다,형용사,4급
건너,명사,4급
건네다,동사,4급
건네주다,동사,4급
건드리다,동사,4급
건설,명사,4급
건전지,명사,4급
건지다,동사,4급
건축,명사,4급
걷다03,동사,4급
걷다04,동사,4급
걸치다,동사,4급
검사01,명사,4급
겁나다,동사,4급
겉모습,명사,4급
게01,명사,4급
게다가01,부사,4급
겨울철,명사,4급
격려,명사,4급
겪다,동사,4급
견디다,동사,4급
견학,명사,4급
견해,명사,4급
결근,명사,4급
결론,명사,4급
결승,명사,4급
결코,부사,4급
결합,명사,4급
결혼식장,명사,4급
겸손,명사,4급
겹치다,동사,4급
경계01,명사,4급
경고,명사,4급
경기01,명사,4급
경력,명사,4급
경영,명사,4급
경쟁,명사,4급
경쟁력,명사,4급
